,songtext,artist
0,summertime  and the livin s easy bradley s on the microphone with ras mg all the people in the dance will agree that we re well-qualified to represent the l b c me  me and louie  we gonna run to the party and dance to the rhythm  it gets harder  me and my girl  we got this relationship i love her so bad  but she treats me like shit on lockdown  like a penitentiary she spreads her lovin  all over and when she gets home  there s none left for me  summertime  and the livin s easy bradley s on the microphone with ras mg all the people in the dance will agree that we re well-qualified to represent the l b c me  me and louie  we gonna run to the party and dance to the rhythm  it gets harder  harder  yeah  harder  yeah   oh  take this veil from off my eyes my burning sun will  some day  rise so  what am i gonna be doin  for a while  said  i m gonna play with myself show them  now  we ve come off the shelf  summertime  and the livin s easy bradley s on the microphone with ras mg all the people in the dance will agree that we re well-qualified to represent the l b c me  me and louie  we gonna run to the party and dance to the rhythm  it gets harder  harder  yeah  harder  yeah   evil  i ve come to tell you that she s evil  most definitely evil  ornery  scandalous and evil  most definitely the tension  it s getting hotter i d like to hold her head underwater  summertime   ah  ah  ah   summertime  and the livin s easy bradley s on the microphone with ras mg all the people in the dance will agree that we re well-qualified to represent the l b c me  me and louie  we gonna run to the party and dance to the rhythm  it gets harder,Lana_del_Rey
1,"i like to see everything in neon drink lime green  stay up  til dawn maybe the way that i m living is killing me i like to light up the stage with a song do shit to keep me turned on but one day i woke up like ""maybe i ll do it differently""  so i moved to california  but it s just a state of mind it turns out everywhere you go  you take yourself  that s not a lie wish that you would hold me or just say that you were mine it s killing me slowly  dream a little dream of me make me into something sweet turn the radio on  dancing to a pop song f*ck it  i love you f*ck it  i love you f*ck it  i love you i really do  i used to shoot up my veins in neon and shit s even brighter  you re gone so many things i would say to you i want you  you moved to california  but it s just a state of mind and you know everyone adores you you can t feel it and you re tired baby  wish that you would hold me or just say that you were mine but it s killing me slowly  dream a little dream of me turn this into something sweet turn the radio on  dancing to a pop song f*ck it  i love you f*ck it  i love you f*ck it  i love you i really do  it turns out california s more than just a state of mind i met you on the boulevard  wind through my hair  you blew my mind and if i wasn t so fucked up  i think i d f*ck you all the time  i really do  it s killing me slowly  f*ck it  i love you   i moved to california  but it s just a state of mind  f*ck it  i love you  it turns out everywhere you go you take yourself  that s not a lie  f*ck it  i love you  wish that you would hold me or just say that you were mine  i really do  it s killing me slowly  f*ck it  i love you   california dreamin   i got my money on my mind  f*ck it  i love you  drugs is in my veins  running out of time  f*ck it  i love you  california dreamin   i got my money on my mind  i really do  drugs is in my veins  running out of time  f*ck it  i love you  california dreamin   i got my money on my mind  f*ck it  i love you  drugs is in my veins  running out of time  f*ck it  i love you  california dreamin   i got my money on my mind  i really do  drugs is in my veins  running out of time",Lana_del_Rey
2,"i was reading slim aarons and i got to thinking that i thought maybe i d get less stressed if i was tested less like all of these debutantes smiling for miles in pink dresses and high heels on white yachts but i m not  baby  i m not no  i m not  that  i m not  i ve been tearing around in my fucking nightgown 24/7 sylvia plath writing in blood on my walls  cause the ink in my pen don t work in my notepad don t ask if i m happy  you know that i m not but at best  i can say i m not sad  cause hope is a dangerous thing for a woman like me to have hope is a dangerous thing for a woman like me to have  i had fifteen-year dances church basement romances  yeah  i ve cried spilling my guts with the bowery bums is the only love i ve ever known except for the stage  which i also call home  when i m not servin  up god in a burnt coffee pot for the triad hello  it s the most famous woman you know on the ipad calling from beyond the grave  i just wanna say  ""hi  dad""  i ve been tearing up town in my fucking white gown like a goddamn near sociopath shaking my ass is the only thing that s got this black narcissist off my back she couldn t care less  and i never cared more so there s no more to say about that except hope is a dangerous thing for a woman like me to have hope is a dangerous thing for a woman with my past  there s a new revolution  a loud evolution that i saw born of confusion and quiet collusion of which mostly i ve known a modern day woman with a weak constitution   cause i ve got monsters still under my bed that i could never fight off a gatekeeper carelessly dropping the keys on my nights off  i ve been tearing around in my fucking nightgown 24/7 sylvia plath writing in blood on your walls  cause the ink in my pen don t look good in my pad they write that i m happy  they know that i m not but at best  you can see i m not sad but hope is a dangerous thing for a woman like me to have hope is a dangerous thing for a woman like me to have  hope is a dangerous thing for a woman like me to have but i have it yeah  i have it yeah  i have it i have",Lana_del_Rey
3,took a trip to san francisco all our friends said we would jive didn t work  so i left for fresno it was quite a scenic drive pulled over to watch the children in the park we used to only worry about them after dark  i m still looking for my own version of america one without the gun  where the flag can freely fly no bombs in the sky  only fireworks when you and i collide it s just a dream i had in mind it s just a dream i had in mind it s just a dream i had in mind  i flew back to new york city missed that hudson river line took the train back to lake placid that s another place and time  where i used to go to drive-ins and listen to the blues so many things that i think twice about before i do now  i m still looking for my own version of america one without the gun  where the flag can freely fly no bombs in the sky  only fireworks when you and i collide it s just a dream i had in mind it s just a dream i had in mind it s just a dream i had in mind it s just a dream i had in mind,Lana_del_Rey
4,"godamn  man child you fucked me so good that i almost said  ""i love you"" you re fun and you re wild but you don t know the half of the shit that you put me through your poetry s bad and you blame the news but i can t change that  and i can t change your mood ah ah   cause you re just a man it s just what you do your head in your hands as you color me blue yeah  you re just a man all through and through your head in your hands as you color me blue blue  blue  blue  goddamn  man child you act like a kid even though you stand six foot two self-loathing poet  resident laurel canyon  know-it-all you talk to the walls when the party gets bored of you but i don t get bored  i just see you through why wait for the best when i could have you  you   cause you re just a man it s just what you do your head in your hands as you color me blue yeah  you re just a man all through and through your head in your hands as you color me blue blue  blue  you make me blue blue  blue  blue blue  blue  blue",Lana_del_Rey
5,you took my sadness out of context at the mariners apartment complex i ain t no candle in the wind  i m the board  the lightning  the thunder kind of girl who s gonna make you wonder who you are and who you ve been  and who i ve been is with you on these beaches your venice bitch  your die-hard  your weakness maybe i could save you from your sins so  kiss the sky and whisper to jesus my  my  my  you found this  you need this take a deep breath  baby  let me in  you lose your way  just take my hand you re lost at sea  then i ll command your boat to me again don t look too far  right where you are  that s where i am i m your man i m your man  they mistook my kindness for weakness i fucked up  i know that  but jesus can t a girl just do the best she can  catch a wave and take in the sweetness think about it  the darkness  the deepness all the things that make me who i am  and who i am is a big-time believer that people can change  but you don t have to leave her when everyone s talking  you can make a stand  cause even in the dark i feel your resistance you can see my heart burning in the distance baby  baby  baby  i m your man  yeah   you lose your way  just take my hand you re lost at sea  then i ll command your boat to me again don t look too far  right where you are  that s where i am i m your man i m your man  catch a wave and take in the sweetness take in the sweetness you want this  you need this are you ready for it  are you ready for it  are you ready for it ,Lana_del_Rey
6,fear fun  fear love fresh out of fucks  forever tryin  to be stronger for you ice cream  ice queen i dream in jeans and leather life s dream  i m sweet for you  oh god  miss you on my lips it s me  your little venice bitch on the stoop with the neighborhood kids callin  out  bang bang  kiss kiss  you re in the yard  i light the fire and as the summer fades away nothing gold can stay you write  i tour  we make it work you re beautiful and i m insane we re american-made  give me hallmark one dream  one life  one lover paint me happy and blue norman rockwell no hype under our covers it s just me and you  oh god  miss you on my lips it s me  your little venice bitch on the stoop with the neighborhood kids callin  out  bang bang  kiss kiss  you re in the yard  i light the fire and as the summer fades away nothing gold can stay you write  i tour  we make it work you re beautiful and i m insane we re american-made  oh yeah  oh yeah  oh yeah signin  off  bang bang  kiss kiss yeah yeah  oh yeah  oh yeah signin  off  bang bang  kiss kiss  oh god  want you on my lips  i do  i do  it s me  your little venice bitch on the stoop with the neighborhood kids signin  off  bang bang  kiss kiss  oh yeah  oh yeah  oh yeah  signin  off  bang bang  kiss kiss  yeah  yeah  yeah yeah  yeah  young baby is back in town now you should come  come over we ll be hanging around now you should come  come over  oh god  i love him on my lips it s me  your little venice bitch touch me with your fingertips it s me  your little venice bitch  ba-back in the garden we re getting high now  because we re older me  myself  i like diamonds my baby  crimson and clover   la-la-la-la-la-la  beautiful  beautiful  beautiful   la-la-la-la-la-la  beautiful  beautiful  beautiful  oh  oh  oh  oh  whatever everything  whatever oh  oh  oh  oh  whatever everything  whatever  back in the garden we re getting high now  because we re older me  myself  i like diamonds my baby  crimson and clover  crimson and clover  honey crimson and clover  honey crimson and clover  honey crimson and clover  honey crimson and clover  honey crimson and clover  honey over and over  honey over and over  honey over and over  honey over and over  honey over and over  if you weren t mine  i d be jealous of your love if you weren t mine  i d be jealous of your love if you weren t mine  i d be jealous of your love if you weren t mine  i d be jealous of your love if you weren t mine  i d be jealous of your love,Lana_del_Rey
7,"i like to see everything in neon drink lime green  stay up  til dawn maybe the way that i m living is killing me i like to light up the stage with a song do shit to keep me turned on but one day i woke up like ""maybe i ll do it differently""  so i moved to california  but it s just a state of mind it turns out everywhere you go  you take yourself  that s not a lie wish that you would hold me or just say that you were mine it s killing me slowly  dream a little dream of me make me into something sweet turn the radio on  dancing to a pop song f*ck it  i love you f*ck it  i love you f*ck it  i love you i really do  i used to shoot up my veins in neon and shit s even brighter  you re gone so many things i would say to you i want you  you moved to california  but it s just a state of mind and you know everyone adores you you can t feel it and you re tired baby  wish that you would hold me or just say that you were mine but it s killing me slowly  dream a little dream of me turn this into something sweet turn the radio on  dancing to a pop song f*ck it  i love you f*ck it  i love you f*ck it  i love you i really do  it turns out california s more than just a state of mind i met you on the boulevard  wind through my hair  you blew my mind and if i wasn t so fucked up  i think i d f*ck you all the time  i really do  it s killing me slowly  f*ck it  i love you   i moved to california  but it s just a state of mind  f*ck it  i love you  it turns out everywhere you go you take yourself  that s not a lie  f*ck it  i love you  wish that you would hold me or just say that you were mine  i really do  it s killing me slowly  f*ck it  i love you   california dreamin   i got my money on my mind  f*ck it  i love you  drugs is in my veins  running out of time  f*ck it  i love you  california dreamin   i got my money on my mind  i really do  drugs is in my veins  running out of time  f*ck it  i love you  california dreamin   i got my money on my mind  f*ck it  i love you  drugs is in my veins  running out of time  f*ck it  i love you  california dreamin   i got my money on my mind  i really do  drugs is in my veins  running out of time",Lana_del_Rey
8,summertime  and the livin s easy bradley s on the microphone with ras mg all the people in the dance will agree that we re well-qualified to represent the l b c me  me and louie  we gonna run to the party and dance to the rhythm  it gets harder  me and my girl  we got this relationship i love her so bad  but she treats me like shit on lockdown  like a penitentiary she spreads her lovin  all over and when she gets home  there s none left for me  summertime  and the livin s easy bradley s on the microphone with ras mg all the people in the dance will agree that we re well-qualified to represent the l b c me  me and louie  we gonna run to the party and dance to the rhythm  it gets harder  harder  yeah  harder  yeah   oh  take this veil from off my eyes my burning sun will  some day  rise so  what am i gonna be doin  for a while  said  i m gonna play with myself show them  now  we ve come off the shelf  summertime  and the livin s easy bradley s on the microphone with ras mg all the people in the dance will agree that we re well-qualified to represent the l b c me  me and louie  we gonna run to the party and dance to the rhythm  it gets harder  harder  yeah  harder  yeah   evil  i ve come to tell you that she s evil  most definitely evil  ornery  scandalous and evil  most definitely the tension  it s getting hotter i d like to hold her head underwater  summertime   ah  ah  ah   summertime  and the livin s easy bradley s on the microphone with ras mg all the people in the dance will agree that we re well-qualified to represent the l b c me  me and louie  we gonna run to the party and dance to the rhythm  it gets harder,Lana_del_Rey
9,in the car  in the car  in the backseat  i m your baby we go fast  we go so fast  we don t move i believe in a place you take me make you real proud of your baby in your car  i m a star and i m burnin  through you in your car  i m a star and i m burnin  through you  oh  be my once in a lifetime lying on your chest  in my party dress i m a fucking mess but i oh  thanks for the high life baby  it s the best  that s a test and yes  now i m here with you and i would like to think that you would stick around you know that i d just die to make you proud the taste  the touch  the way we love it all comes down to make the sound of our love song  dream a dream  here s a scene touch me anywhere  cause i m your baby grab my waist  don t waste any part i believe that you see me for who i am so spill my clothes on the floor of your new car is it safe  is it safe to just be who we are  is it safe  is it safe to just be who we are   oh  be my once in a lifetime lying on your chest  in my party dress i m a fucking mess but i oh  thanks for the high life baby  it s the best  pass the test and yes  now i m here with you and i would like to think that you would stick around you know that i d just die to make you proud the taste  the touch  the way we love it all comes down to make the sound of our love song  the taste  the touch  the way we love it all comes down to make the sound of our love song,Lana_del_Rey
